日期,部门,平台,子平台,成交金额,目标金额
2026/5/15,八喜,天猫,猫超,1.89,1.58
2026/5/15,八喜,拼多多,拼多多,0.13,0.11
2026/5/16,八喜,抖音,抖音,8.34,6.08
2026/5/16,八喜,京东,pop,0.53,0.53
2026/5/16,八喜,京东,自营,26.55,26.58
2026/5/16,八喜,天猫,猫旗,6.68,4.46
2026/5/16,八喜,天猫,猫超,2.53,2.04
2026/5/16,八喜,拼多多,拼多多,0.15,0.12
2026/5/17,八喜,抖音,抖音,5.91,4.29
2026/5/17,八喜,京东,pop,0.13,0.13
2026/5/17,八喜,京东,自营,40.05,40.05
2026/5/17,八喜,天猫,猫旗,5.92,3.98
2026/5/17,八喜,天猫,猫超,1.8,1.46
2026/5/17,八喜,拼多多,拼多多,0.25,0.19
2026/5/18,八喜,抖音,抖音,4.71,3.64
2026/5/18,八喜,京东,pop,0.19,0.19
2026/5/18,八喜,京东,自营,36.79,36.79
2026/5/18,八喜,天猫,猫旗,5.24,3.96
2026/5/18,八喜,天猫,猫超,4.75,4.1
2026/5/18,八喜,拼多多,拼多多,0.09,0.08
2026/5/19,八喜,抖音,抖音,3.78,2.88
2026/5/19,八喜,京东,pop,0.07,0.07
2026/5/19,八喜,京东,自营,26.98,26.98
2026/5/19,八喜,天猫,猫旗,5.6,3.78
2026/5/19,八喜,天猫,猫超,2.38,1.67
2026/5/19,八喜,拼多多,拼多多,0.13,0.11
2026/5/20,八喜,抖音,抖音,4.8,3.26
2026/5/20,八喜,京东,pop,0.08,0.08
2026/5/20,八喜,京东,自营,83.38,83.38
2026/5/20,八喜,天猫,猫旗,5.06,3.61
2026/5/20,八喜,天猫,猫超,10.14,8.85
2026/5/20,八喜,拼多多,拼多多,0.14,0.09
2026/5/21,八喜,抖音,抖音,2.87,2.58
2026/5/21,八喜,京东,pop,0.08,0.08
2026/5/21,八喜,京东,自营,52.85,52.86
2026/5/21,八喜,天猫,猫旗,8.51,6.56
2026/5/21,八喜,天猫,猫超,3.37,2.3
2026/5/21,八喜,拼多多,拼多多,0.1,0.09
2026/5/22,八喜,抖音,抖音,3.01,2.73
2026/5/22,八喜,京东,pop,0.23,0.23
2026/5/22,八喜,京东,自营,62.44,62.44
2026/5/22,八喜,天猫,猫旗,9.37,7.56
2026/5/22,八喜,天猫,猫超,3.03,2.35
2026/5/22,八喜,拼多多,拼多多,0.17,0.15
2026/5/23,八喜,抖音,抖音,4.06,3.16
2026/5/23,八喜,京东,pop,0.21,0.21
2026/5/23,八喜,京东,自营,40.94,40.95
2026/5/23,八喜,天猫,猫旗,4.37,3.2
