日期,部门,平台,子平台,成交金额,目标金额
2026/6/1,低温,抖音,抖音,8.61,9.1
2026/6/1,低温,拼多多,拼多多,3.45,3.9
2026/6/1,低温,新零售,新零售,50.35,47.0
2026/6/1,八喜,京东,pop,1.03,3.3
2026/6/1,八喜,京东,自营,67.57,25.0
2026/6/1,八喜,天猫,猫旗,11.86,22.0
2026/6/1,八喜,天猫,猫超,10.09,3.8
2026/6/1,八喜,抖音,抖音,8.74,7.5
2026/6/1,八喜,拼多多,拼多多,0.13,0.2
2026/6/1,奶粉,京东,pop,0.18,0.16
2026/6/1,奶粉,京东,自营,24.1,51.58
2026/6/1,奶粉,天猫,猫旗,0.93,4.43
2026/6/1,奶粉,抖音,抖音,8.45,5.45
2026/6/1,奶粉,拼多多,拼多多,1.44,1.56
2026/6/1,常温,京东,pop,7.33,12.0
2026/6/1,常温,京东,自营,124.56,150.0
2026/6/1,常温,天猫,猫旗,5.4,8.0
2026/6/1,常温,天猫,猫超,20.66,25.0
2026/6/1,常温,抖音,抖音,47.17,30.0
2026/6/1,常温,拼多多,多多买菜,11.59,0.0
2026/6/1,常温,拼多多,拼多多,12.16,23.0
2026/6/1,常温,新零售,新零售,29.73,36.3
2026/6/1,常温,小程序及其他,小程序及其他,7.64,3.75
2026/6/2,低温,京东,pop,1.34,1.8
2026/6/2,低温,京东,自营,15.3,14.5
2026/6/2,低温,天猫,猫旗,4.64,2.5
2026/6/2,低温,天猫,猫超,0.38,0.7
2026/6/2,低温,抖音,抖音,6.74,8.9
2026/6/2,低温,拼多多,拼多多,3.54,3.4
2026/6/2,低温,新零售,新零售,54.67,51.0
2026/6/2,八喜,京东,pop,1.15,3.3
2026/6/2,八喜,京东,自营,24.2,25.0
2026/6/2,八喜,天猫,猫旗,58.6,30.0
2026/6/2,八喜,天猫,猫超,4.39,3.5
2026/6/2,八喜,抖音,抖音,4.88,8.0
2026/6/2,八喜,拼多多,拼多多,0.21,0.2
2026/6/2,奶粉,京东,pop,0.08,0.12
2026/6/2,奶粉,京东,自营,27.87,13.37
2026/6/2,奶粉,天猫,猫旗,0.51,1.1
2026/6/2,奶粉,抖音,抖音,7.44,4.09
2026/6/2,奶粉,拼多多,拼多多,1.72,1.2
2026/6/2,常温,京东,pop,6.81,6.5
2026/6/2,常温,京东,自营,71.48,120.0
2026/6/2,常温,天猫,猫旗,5.95,8.0
2026/6/2,常温,天猫,猫超,28.58,23.0
2026/6/2,常温,小程序及其他,小程序及其他,7.64,3.75
2026/6/2,常温,抖音,抖音,13.48,30.0
2026/6/2,常温,拼多多,多多买菜,9.71,0.0
2026/6/2,常温,拼多多,拼多多,15.72,27.0
2026/6/2,常温,新零售,新零售,30.77,37.5
2026/6/3,低温,京东,pop,1.26,1.8
2026/6/3,低温,京东,自营,14.06,13.9
2026/6/3,低温,天猫,猫旗,6.55,2.5
2026/6/3,低温,天猫,猫超,0.43,0.6
2026/6/3,低温,抖音,抖音,7.8,8.8
2026/6/3,低温,拼多多,拼多多,3.33,2.5
2026/6/3,低温,新零售,新零售,58.0,47.0
2026/6/3,八喜,京东,pop,0.28,1.0
2026/6/3,八喜,京东,自营,22.77,25.0
2026/6/3,八喜,天猫,猫旗,19.92,27.0
2026/6/3,八喜,天猫,猫超,4.59,4.2
2026/6/3,八喜,抖音,抖音,7.81,10.0
2026/6/3,八喜,拼多多,拼多多,0.22,0.2
2026/6/3,奶粉,京东,pop,0.12,0.14
2026/6/3,奶粉,京东,自营,38.08,13.53
2026/6/3,奶粉,天猫,猫旗,0.39,1.1
2026/6/3,奶粉,抖音,抖音,14.45,4.81
2026/6/3,奶粉,拼多多,拼多多,1.57,1.38
2026/6/3,常温,京东,pop,6.39,7.0
2026/6/3,常温,京东,自营,63.47,115.0
2026/6/3,常温,天猫,猫旗,6.65,8.0
2026/6/3,常温,天猫,猫超,34.52,21.0
2026/6/3,常温,小程序及其他,小程序及其他,7.64,3.75
2026/6/3,常温,抖音,抖音,48.41,30.0
2026/6/3,常温,拼多多,多多买菜,9.54,0.0
2026/6/3,常温,拼多多,拼多多,13.02,28.0
2026/6/3,常温,新零售,新零售,30.87,37.0
2026/6/4,低温,京东,pop,1.26,2.0
2026/6/4,低温,京东,自营,42.82,13.4
2026/6/4,低温,天猫,猫旗,7.64,2.5
2026/6/4,低温,天猫,猫超,0.45,0.5
2026/6/4,低温,抖音,抖音,4.72,8.5
2026/6/4,低温,拼多多,拼多多,5.48,2.3
2026/6/4,低温,新零售,新零售,69.49,59.0
2026/6/4,八喜,京东,pop,0.32,2.0
2026/6/4,八喜,京东,自营,87.1,120.0
2026/6/4,八喜,天猫,猫旗,11.67,28.0
2026/6/4,八喜,天猫,猫超,9.04,3.9
2026/6/4,八喜,抖音,抖音,10.1,12.0
2026/6/4,八喜,拼多多,拼多多,0.27,0.2
2026/6/4,奶粉,京东,pop,0.06,0.14
2026/6/4,奶粉,京东,自营,12.92,13.57
2026/6/4,奶粉,天猫,猫旗,0.76,1.1
2026/6/4,奶粉,抖音,抖音,3.96,4.99
2026/6/4,奶粉,拼多多,拼多多,1.85,1.42
2026/6/4,常温,京东,pop,11.97,6.5
2026/6/4,常温,京东,自营,124.78,160.0
2026/6/4,常温,天猫,猫旗,5.94,8.0
2026/6/4,常温,天猫,猫超,24.11,20.0
2026/6/4,常温,小程序及其他,小程序及其他,7.64,3.75
2026/6/4,常温,抖音,抖音,43.58,30.0
2026/6/4,常温,拼多多,多多买菜,12.12,0.0
2026/6/4,常温,拼多多,拼多多,16.53,28.0
2026/6/4,常温,新零售,新零售,30.31,35.6
2026/6/5,低温,京东,pop,1.44,2.0
2026/6/5,低温,京东,自营,21.47,13.9
2026/6/5,低温,天猫,猫旗,11.7,2.0
2026/6/5,低温,天猫,猫超,0.44,0.5
2026/6/5,低温,抖音,抖音,7.15,8.6
2026/6/5,低温,拼多多,拼多多,5.72,2.6
2026/6/5,低温,新零售,新零售,62.35,59.0
2026/6/5,八喜,京东,pop,0.23,2.0
2026/6/5,八喜,京东,自营,134.46,100.0
2026/6/5,八喜,天猫,猫旗,8.74,30.0
2026/6/5,八喜,天猫,猫超,5.19,3.7
2026/6/5,八喜,抖音,抖音,26.89,15.0
2026/6/5,八喜,拼多多,拼多多,0.26,0.2
2026/6/5,奶粉,京东,pop,0.07,0.14
2026/6/5,奶粉,京东,自营,10.2,13.52
2026/6/5,奶粉,天猫,猫旗,1.49,1.1
2026/6/5,奶粉,抖音,抖音,6.84,4.76
2026/6/5,奶粉,拼多多,拼多多,1.71,1.36
2026/6/5,常温,京东,pop,6.59,6.5
2026/6/5,常温,京东,自营,182.41,160.0
2026/6/5,常温,天猫,猫旗,5.57,7.0
2026/6/5,常温,天猫,猫超,31.41,21.0
2026/6/5,常温,小程序及其他,小程序及其他,7.64,3.75
2026/6/5,常温,抖音,抖音,55.67,30.0
2026/6/5,常温,拼多多,多多买菜,9.2,0.0
2026/6/5,常温,拼多多,拼多多,12.1,28.0
2026/6/5,常温,新零售,新零售,26.26,41.0
2026/6/6,低温,京东,pop,1.5,2.0
2026/6/6,低温,京东,自营,13.02,13.2
2026/6/6,低温,天猫,猫旗,10.68,2.0
2026/6/6,低温,天猫,猫超,0.39,0.5
2026/6/6,低温,抖音,抖音,5.29,9.5
2026/6/6,低温,拼多多,拼多多,4.78,2.8
2026/6/6,低温,新零售,新零售,91.77,70.0
2026/6/6,八喜,京东,pop,0.27,1.0
2026/6/6,八喜,京东,自营,34.82,90.0
2026/6/6,八喜,天猫,猫旗,23.18,27.0
2026/6/6,八喜,天猫,猫超,3.9,2.8
2026/6/6,八喜,抖音,抖音,8.26,20.0
2026/6/6,八喜,拼多多,拼多多,0.29,0.2
2026/6/6,奶粉,京东,pop,0.05,0.13
2026/6/6,奶粉,京东,自营,6.42,22.07
2026/6/6,奶粉,天猫,猫旗,1.64,1.86
2026/6/6,奶粉,抖音,抖音,6.06,4.35
2026/6/6,奶粉,拼多多,拼多多,1.86,1.42
2026/6/6,常温,京东,pop,6.68,7.0
2026/6/6,常温,京东,自营,134.51,145.0
2026/6/6,常温,天猫,猫旗,6.91,7.0
2026/6/6,常温,天猫,猫超,31.85,23.0
2026/6/6,常温,小程序及其他,小程序及其他,8.96,3.75
2026/6/6,常温,抖音,抖音,73.1,35.0
2026/6/6,常温,拼多多,多多买菜,11.55,0.0
2026/6/6,常温,拼多多,拼多多,13.49,29.0
2026/6/6,常温,新零售,新零售,36.48,49.2
2026/6/7,低温,京东,pop,1.45,2.0
2026/6/7,低温,京东,自营,12.29,13.9
2026/6/7,低温,天猫,猫旗,4.02,1.5
2026/6/7,低温,天猫,猫超,0.5,0.5
2026/6/7,低温,抖音,抖音,4.76,9.3
2026/6/7,低温,拼多多,拼多多,3.75,2.5
2026/6/7,低温,新零售,新零售,82.2,59.0
2026/6/7,八喜,京东,pop,0.21,1.0
2026/6/7,八喜,京东,自营,36.79,90.0
2026/6/7,八喜,天猫,猫旗,10.81,27.0
2026/6/7,八喜,天猫,猫超,28.91,3.7
2026/6/7,八喜,抖音,抖音,6.21,20.0
2026/6/7,八喜,拼多多,拼多多,0.18,0.17
2026/6/7,奶粉,京东,pop,0.06,0.12
2026/6/7,奶粉,京东,自营,6.94,13.35
2026/6/7,奶粉,天猫,猫旗,0.45,1.1
2026/6/7,奶粉,抖音,抖音,6.37,4.0
2026/6/7,奶粉,拼多多,拼多多,2.05,1.18
2026/6/7,常温,京东,pop,5.01,7.5
2026/6/7,常温,京东,自营,102.04,145.0
2026/6/7,常温,天猫,猫旗,9.18,7.0
2026/6/7,常温,天猫,猫超,34.56,17.0
2026/6/7,常温,小程序及其他,小程序及其他,8.96,3.75
2026/6/7,常温,抖音,抖音,45.52,35.0
2026/6/7,常温,拼多多,多多买菜,8.2,0.0
2026/6/7,常温,拼多多,拼多多,7.59,27.0
2026/6/7,常温,新零售,新零售,37.87,50.4
2026/6/8,低温,京东,pop,1.75,2.0
2026/6/8,低温,京东,自营,17.35,14.3
2026/6/8,低温,天猫,猫旗,4.34,1.5
2026/6/8,低温,天猫,猫超,0.56,0.5
2026/6/8,低温,抖音,抖音,7.15,9.6
2026/6/8,低温,拼多多,拼多多,4.25,2.3
2026/6/8,低温,新零售,新零售,65.71,47.0
2026/6/8,八喜,京东,pop,0.15,1.0
2026/6/8,八喜,京东,自营,38.03,80.0
2026/6/8,八喜,天猫,猫旗,72.14,29.0
2026/6/8,八喜,天猫,猫超,8.62,3.5
2026/6/8,八喜,抖音,抖音,3.2,18.0
2026/6/8,八喜,拼多多,拼多多,0.2,0.17
2026/6/8,奶粉,京东,pop,0.11,0.13
2026/6/8,奶粉,京东,自营,17.19,26.99
2026/6/8,奶粉,天猫,猫旗,0.14,2.29
2026/6/8,奶粉,抖音,抖音,8.26,4.65
2026/6/8,奶粉,拼多多,拼多多,1.77,1.42
2026/6/8,常温,京东,pop,5.25,8.0
2026/6/8,常温,京东,自营,139.1,180.0
2026/6/8,常温,天猫,猫旗,10.32,7.0
2026/6/8,常温,天猫,猫超,23.65,18.0
2026/6/8,常温,小程序及其他,小程序及其他,8.96,3.75
2026/6/8,常温,抖音,抖音,26.1,32.0
2026/6/8,常温,拼多多,多多买菜,11.63,0.0
2026/6/8,常温,拼多多,拼多多,11.44,26.0
2026/6/8,常温,新零售,新零售,29.63,38.0
2026/6/9,低温,京东,pop,1.71,2.0
2026/6/9,低温,京东,自营,13.52,13.5
2026/6/9,低温,天猫,猫旗,6.79,2.0
2026/6/9,低温,天猫,猫超,0.61,0.5
2026/6/9,低温,抖音,抖音,21.87,8.9
2026/6/9,低温,拼多多,拼多多,4.07,2.5
2026/6/9,低温,新零售,新零售,64.67,51.0
2026/6/9,八喜,京东,pop,0.36,2.0
2026/6/9,八喜,京东,自营,388.5,120.0
2026/6/9,八喜,天猫,猫旗,35.78,28.0
2026/6/9,八喜,天猫,猫超,4.76,3.2
2026/6/9,八喜,抖音,抖音,4.97,21.0
2026/6/9,八喜,拼多多,拼多多,0.15,0.17
2026/6/9,奶粉,京东,pop,0.14,0.16
2026/6/9,奶粉,京东,自营,18.87,27.17
2026/6/9,奶粉,天猫,猫旗,0.16,2.29
2026/6/9,奶粉,抖音,抖音,4.96,5.47
2026/6/9,奶粉,拼多多,拼多多,1.86,1.62
2026/6/9,常温,京东,pop,5.36,6.5
2026/6/9,常温,京东,自营,143.44,170.0
2026/6/9,常温,天猫,猫旗,7.64,7.0
2026/6/9,常温,天猫,猫超,28.93,19.0
2026/6/9,常温,小程序及其他,小程序及其他,8.96,3.75
2026/6/9,常温,抖音,抖音,33.16,32.0
2026/6/9,常温,拼多多,多多买菜,9.07,0.0
2026/6/9,常温,拼多多,拼多多,11.84,27.0
2026/6/9,常温,新零售,新零售,30.56,34.6
2026/6/10,低温,京东,pop,1.58,2.0
2026/6/10,低温,京东,自营,17.86,13.8
2026/6/10,低温,天猫,猫旗,3.37,2.0
2026/6/10,低温,天猫,猫超,0.46,0.5
2026/6/10,低温,抖音,抖音,21.87,8.8
2026/6/10,低温,拼多多,拼多多,3.97,3.2
2026/6/10,低温,新零售,新零售,54.96,47.0
2026/6/10,八喜,京东,pop,0.3,2.0
2026/6/10,八喜,京东,自营,120.83,120.0
2026/6/10,八喜,天猫,猫旗,3.99,29.0
2026/6/10,八喜,天猫,猫超,4.51,4.2
2026/6/10,八喜,抖音,抖音,4.97,21.0
2026/6/10,八喜,拼多多,拼多多,0.19,0.17
2026/6/10,奶粉,京东,pop,0.21,0.15
2026/6/10,奶粉,京东,自营,17.71,51.95
2026/6/10,奶粉,天猫,猫旗,0.08,2.47
2026/6/10,奶粉,抖音,抖音,4.68,5.2
2026/6/10,奶粉,拼多多,拼多多,1.96,1.51
2026/6/10,常温,京东,pop,12.45,6.0
2026/6/10,常温,京东,自营,215.54,212.0
2026/6/10,常温,天猫,猫旗,8.26,7.0
2026/6/10,常温,天猫,猫超,28.15,18.0
2026/6/10,常温,小程序及其他,小程序及其他,8.96,3.75
2026/6/10,常温,抖音,抖音,33.16,32.0
2026/6/10,常温,拼多多,多多买菜,9.25,0.0
2026/6/10,常温,拼多多,拼多多,12.43,27.0
2026/6/10,常温,新零售,新零售,29.91,37.4
2026/6/11,低温,京东,pop,1.45,2.0
2026/6/11,低温,京东,自营,20.3,15.7
2026/6/11,低温,天猫,猫旗,4.13,2.0
2026/6/11,低温,天猫,猫超,0.5,0.5
2026/6/11,低温,抖音,抖音,17.29,9.0
2026/6/11,低温,拼多多,拼多多,4.83,3.2
2026/6/11,低温,新零售,新零售,67.95,59.0
2026/6/11,八喜,京东,pop,0.24,1.0
2026/6/11,八喜,京东,自营,38.44,30.0
2026/6/11,八喜,天猫,猫旗,3.48,29.0
2026/6/11,八喜,天猫,猫超,5.9,3.7
2026/6/11,八喜,抖音,抖音,7.1,34.0
2026/6/11,八喜,拼多多,拼多多,0.17,0.17
2026/6/11,奶粉,京东,pop,0.16,0.12
2026/6/11,奶粉,京东,自营,12.4,14.98
2026/6/11,奶粉,天猫,猫旗,0.12,2.24
2026/6/11,奶粉,抖音,抖音,7.3,4.19
2026/6/11,奶粉,拼多多,拼多多,2.14,1.26
2026/6/11,常温,京东,pop,7.72,6.5
2026/6/11,常温,京东,自营,107.31,96.0
2026/6/11,常温,天猫,猫旗,9.43,7.0
2026/6/11,常温,天猫,猫超,31.11,15.0
2026/6/11,常温,小程序及其他,小程序及其他,8.96,3.75
2026/6/11,常温,抖音,抖音,38.22,30.0
2026/6/11,常温,拼多多,多多买菜,12.26,0.0
2026/6/11,常温,拼多多,拼多多,13.32,26.0
2026/6/11,常温,新零售,新零售,28.67,35.8
2026/6/12,低温,京东,pop,1.51,2.0
2026/6/12,低温,京东,自营,15.28,14.5
2026/6/12,低温,天猫,猫旗,3.65,2.0
2026/6/12,低温,天猫,猫超,0.4,0.5
2026/6/12,低温,抖音,抖音,17.83,9.5
2026/6/12,低温,拼多多,拼多多,4.67,2.5
2026/6/12,低温,新零售,新零售,61.53,59.0
2026/6/12,八喜,京东,pop,0.27,1.0
2026/6/12,八喜,京东,自营,61.63,30.0
2026/6/12,八喜,天猫,猫旗,3.09,29.0
2026/6/12,八喜,天猫,猫超,4.6,5.3
2026/6/12,八喜,抖音,抖音,8.38,69.0
2026/6/12,八喜,拼多多,拼多多,0.17,0.17
2026/6/12,奶粉,京东,pop,0.13,0.1
2026/6/12,奶粉,京东,自营,7.48,14.8
2026/6/12,奶粉,天猫,猫旗,0.07,2.24
2026/6/12,奶粉,抖音,抖音,6.24,3.34
2026/6/12,奶粉,拼多多,拼多多,2.38,1.05
2026/6/12,常温,京东,pop,7.32,6.0
2026/6/12,常温,京东,自营,96.62,96.0
2026/6/12,常温,天猫,猫旗,8.0,7.0
2026/6/12,常温,天猫,猫超,22.71,15.0
2026/6/12,常温,小程序及其他,小程序及其他,8.96,3.75
2026/6/12,常温,抖音,抖音,24.82,30.0
2026/6/12,常温,拼多多,多多买菜,6.56,0.0
2026/6/12,常温,拼多多,拼多多,12.48,27.0
2026/6/12,常温,新零售,新零售,26.79,44.8
2026/6/13,低温,京东,pop,1.62,2.0
2026/6/13,低温,京东,自营,12.88,13.8
2026/6/13,低温,天猫,猫旗,5.37,1.5
2026/6/13,低温,天猫,猫超,0.47,0.5
2026/6/13,低温,抖音,抖音,8.65,9.0
2026/6/13,低温,拼多多,拼多多,4.53,2.2
2026/6/13,低温,新零售,新零售,81.86,70.0
2026/6/13,八喜,京东,pop,0.23,1.0
2026/6/13,八喜,京东,自营,31.1,40.0
2026/6/13,八喜,天猫,猫旗,3.49,20.0
2026/6/13,八喜,天猫,猫超,5.28,4.2
2026/6/13,八喜,抖音,抖音,9.23,48.0
2026/6/13,八喜,拼多多,拼多多,0.18,0.15
2026/6/13,奶粉,京东,pop,0.27,0.12
2026/6/13,奶粉,京东,自营,7.4,14.97
2026/6/13,奶粉,天猫,猫旗,0.13,2.24
2026/6/13,奶粉,抖音,抖音,6.97,4.14
2026/6/13,奶粉,拼多多,拼多多,2.47,1.24
2026/6/13,常温,京东,pop,9.88,6.0
2026/6/13,常温,京东,自营,116.97,96.0
2026/6/13,常温,天猫,猫旗,8.33,7.0
2026/6/13,常温,天猫,猫超,23.05,17.0
2026/6/13,常温,小程序及其他,小程序及其他,0.0,3.75
2026/6/13,常温,抖音,抖音,46.88,32.0
2026/6/13,常温,拼多多,多多买菜,9.38,0.0
2026/6/13,常温,拼多多,拼多多,14.68,26.0
2026/6/13,常温,新零售,新零售,32.82,48.8
2026/6/14,低温,京东,pop,1.88,2.0
2026/6/14,低温,京东,自营,13.75,13.7
2026/6/14,低温,天猫,猫旗,4.84,1.5
2026/6/14,低温,天猫,猫超,0.58,0.5
2026/6/14,低温,抖音,抖音,14.36,8.8
2026/6/14,低温,拼多多,拼多多,4.23,2.6
2026/6/14,低温,新零售,新零售,60.78,59.0
2026/6/14,八喜,京东,pop,0.19,1.0
2026/6/14,八喜,京东,自营,23.83,40.0
2026/6/14,八喜,天猫,猫旗,3.04,23.0
2026/6/14,八喜,天猫,猫超,4.16,5.8
2026/6/14,八喜,抖音,抖音,4.86,48.0
2026/6/14,八喜,拼多多,拼多多,0.49,0.15
2026/6/14,奶粉,京东,pop,0.18,0.08
2026/6/14,奶粉,京东,自营,13.54,56.07
2026/6/14,奶粉,天猫,猫旗,0.14,2.89
2026/6/14,奶粉,抖音,抖音,11.8,2.42
2026/6/14,奶粉,拼多多,拼多多,2.41,0.76
2026/6/14,常温,京东,pop,8.55,7.5
2026/6/14,常温,京东,自营,110.28,95.0
2026/6/14,常温,天猫,猫旗,10.57,7.0
2026/6/14,常温,天猫,猫超,23.38,18.0
2026/6/14,常温,小程序及其他,小程序及其他,0.0,3.75
2026/6/14,常温,抖音,抖音,67.15,35.0
2026/6/14,常温,拼多多,多多买菜,5.63,0.0
2026/6/14,常温,拼多多,拼多多,14.25,25.0
2026/6/14,常温,新零售,新零售,38.68,50.6
